# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596371]
# -beagle_SSE ../mugration_nosample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11
760000	0.4063452855843517	-2.2087041656608752	-1.5954682189987657	-2.872659903990017	-0.8878901921699283	-1.7636188784837237	-1.9169745446334416	-2.4612917555177454	0.8768728597830318	0.3324339599972748	4.130327781119548	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4063452855843517	-0.0	-0.0	-0.0	-0.8878901921699283	-0.0	-0.0	-0.0	0.0	0.0	0.0
780000	0.5189947325417561	-0.8908299887632202	-2.58385181205884	-2.2623761603930674	-0.6937723811976181	-0.5412013756573407	0.33688189646559275	-2.166333179892083	-0.6549848669399025	0.01957346951900481	-0.630121548519815	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5189947325417561	-0.0	-0.0	-0.0	-0.6937723811976181	-0.0	0.0	-0.0	-0.0	0.0	-0.630121548519815
800000	0.6274156130136681	0.528628566164865	-1.3935125052569923	0.163086620067149	-0.715416890164338	1.121133258187193	-1.274055602738323	-1.2851084706542393	-1.6091446868634078	-0.6138763858151246	-0.5668773962443754	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6274156130136681	0.0	-0.0	0.0	-0.715416890164338	0.0	-0.0	-0.0	-0.0	-0.0	-0.5668773962443754
820000	0.4787677386298598	-1.2452734207532246	-0.5021159305826481	0.34041708742483767	-0.6187844990901462	-2.3506205292955817	-2.2126032298107416	3.0478951896666096	-0.0030436211713749384	2.940922069174771	-0.40280454258703485	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.4787677386298598	-0.0	-0.0	0.0	-0.6187844990901462	-0.0	-0.0	0.0	-0.0	0.0	-0.40280454258703485
840000	0.4621505359000967	-2.990372305516211	0.5667195822783462	-0.288708225070779	-0.8542742374756572	-0.7624561594016092	0.31062659710276774	1.069305886253707	-0.18445603267899355	2.2594933578567757	-0.7150852264031322	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.4621505359000967	-0.0	0.0	-0.0	-0.8542742374756572	-0.0	0.0	0.0	-0.0	0.0	-0.7150852264031322
860000	0.6843484319593329	3.06535695013525	-1.9841211704905979	-0.9424800622894035	-0.6498793150090172	1.1537424186936416	-2.609729400377175	-1.2291115095684564	-1.4458122609486785	2.5945875248135524	-0.5378553127990447	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6843484319593329	0.0	-0.0	-0.0	-0.6498793150090172	0.0	-0.0	-0.0	-0.0	0.0	-0.5378553127990447
880000	0.7113564122578242	-2.1222740538132028	-2.3153463089542363	1.3952862245407816	0.2792143838411837	-2.9031610420194265	2.0029426327893636	2.2297826050016414	2.641782354664493	-1.8653920483858177	0.575621958868406	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7113564122578242	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0
900000	0.6187810391591001	4.406837480818178	-0.46343808528235025	1.6516118669199695	-0.8198667489691516	-0.13694715294349444	0.4169939893960592	-1.9619201784258855	1.4453572723537094	-0.7533019335636224	-0.8171861285504902	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6187810391591001	0.0	-0.0	0.0	-0.8198667489691516	-0.0	0.0	-0.0	0.0	-0.0	-0.8171861285504902
920000	0.5376934286287266	2.4750839040071564	-0.5043618201490806	-1.1882931917512842	-0.5281450766029856	-4.247388878290924	-1.782099421780567	3.240839043515877	2.71824610190367	0.2768349960276944	-0.5866023500668455	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5376934286287266	0.0	-0.0	-0.0	-0.5281450766029856	-0.0	-0.0	0.0	0.0	0.0	-0.5866023500668455
940000	0.5480650387245597	1.9731007550955737	2.4793988714873314	-0.6350803397979378	-1.050854778125136	1.524591141041914	-1.8982909950204234	-2.7463402447705136	-0.5228904358784726	-1.8770612518161587	-0.5603630390637693	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5480650387245597	0.0	0.0	-0.0	-1.050854778125136	0.0	-0.0	-0.0	-0.0	-0.0	-0.5603630390637693
