# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596303]
# -beagle_SSE ../mugration_sample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefficients12	location.coefficients13	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefIndicators12	location.coefIndicators13	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13
500000	0.34844889217507785	1.3628861128411793	3.327396899066539	1.1985372405284256	-0.9063562321352792	-4.040548326870209	1.6555313940148428	1.0073004200543456	-1.5586626917435888	-0.5396511992806654	2.4568539493219004	0.56487721302876	2.995710037973286	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34844889217507785	0.0	0.0	0.0	-0.9063562321352792	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0
520000	0.6869192610511152	-3.2370547640148875	-0.17927490107082303	1.9607677500920724	-0.745111653520443	0.25731592248116314	1.9313041295422937	-2.339442377612337	-3.7524834176960824	-3.769255663415121	-0.6758473156697344	-1.2892366923041634	-1.3838718989480727	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6869192610511152	-0.0	-0.0	0.0	-0.745111653520443	0.0	0.0	-0.0	-0.0	-0.0	-0.6758473156697344	-0.0	-0.0
540000	0.5118767431133879	3.3262001389272298	0.5391973540944714	-2.6472257990913213	-0.9355237585815891	1.4416286005491958	-0.6748487756416389	-0.365043831880364	-3.0006644897111823	1.2918727769996823	-0.539319959757997	1.1251533641629223	-0.6468241577038042	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5118767431133879	0.0	0.0	-0.0	-0.9355237585815891	0.0	-0.0	-0.0	-0.0	0.0	-0.539319959757997	0.0	-0.0
560000	0.5933719088035234	0.058336718786729025	-0.6093686186038528	-0.3003906069690337	-0.560778371617902	-0.5455332058678375	0.19496829763549767	-1.4316910361879969	-2.761209659302019	-2.0735128051525407	-0.45098136127679433	-1.874801205436578	-0.97277910953175	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5933719088035234	0.058336718786729025	-0.0	-0.0	-0.560778371617902	-0.0	0.0	-0.0	-0.0	-0.0	-0.45098136127679433	-0.0	-0.0
580000	0.7277524215311868	0.7842614038976011	0.30692833583149204	-0.18205468388491647	-2.3222978079195276	0.20505760910888435	-1.37361042736721	1.7057704926029786	0.4690339145955493	1.1821899833912235	-0.22061988622441545	-2.422409461315641	0.6373916016158958	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7277524215311868	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0
600000	0.3709239540611924	4.2442675824641585	2.9902069482388383	2.4417847198652174	-0.5597490942751545	0.5336637572981326	0.7019500752794887	3.8544373766178612	2.6974589303232626	0.5996043628649679	-0.6161921986603699	-0.32883099723273673	0.30701942557793144	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3709239540611924	0.0	0.0	0.0	-0.5597490942751545	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0
620000	0.29077025663038086	2.57327245329182	4.6206352263862565	-0.46429458412979224	-0.8052946999740235	0.726103921826171	-2.2042992887335044	0.18789041661479497	0.922849527814808	-0.1291501623348707	2.64523278376413	6.239196998845109	-0.8588041927907463	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29077025663038086	0.0	0.0	-0.0	-0.8052946999740235	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0
640000	0.4262697984716763	-0.4493822301956272	0.6847497216821745	-2.450587110367041	-1.0314397596943086	-0.9247950054534152	1.1183500257363626	0.43895649223179395	-1.2837123951173066	-0.12235702683033928	-1.0412141178919878	2.4734453476842457	2.7832238268037224	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4262697984716763	-0.0	0.0	-0.0	-1.0314397596943086	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0
660000	0.6108196559199552	-0.16494475617605386	1.5201234409237983	0.20233929622864708	-0.64358502233509	-2.597222859732961	5.196917675631635	-0.18265387828109692	-1.73548305750757	-1.2237983077017127	-0.61607116889965	-0.27661500980362186	0.9061627203406722	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.6108196559199552	-0.0	0.0	0.0	-0.64358502233509	-0.0	0.0	-0.0	-0.0	-0.0	-0.61607116889965	-0.0	0.0
680000	0.40006863030792006	-0.770151505443987	-0.09979136063776753	2.230251920819322	-0.7500944672081146	0.0026672571594294745	0.8894561248814205	-1.5599804598313187	1.0787156780135907	-0.8336244942176774	0.433670755855626	-0.019047660481044115	3.182251616893557	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40006863030792006	-0.0	-0.0	0.0	-0.7500944672081146	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
700000	1.1409045437239727	1.6961325406801488	0.5058353629492638	0.195260422868526	-1.6701271589940414	1.4481995278797588	-2.1579910034301593	-2.577859350428158	-0.06233662538143983	0.0818007314142104	-1.7985659390710589	0.6535739774850062	-0.24262247173186152	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-1.6701271589940414	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.6535739774850062	-0.0
720000	3.5439947778675562	5.237191317989121	-0.5035225235752245	2.383113464925506	-0.90375428492438	0.8206100465944203	-1.7709183271773363	0.05460770433311879	-2.7048996898637294	1.2669088447849413	-0.20078766663854034	0.7312766093624736	1.6501628609811618	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.0	0.0	-0.90375428492438	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.7312766093624736	0.0
