from	to	year	trade
Hong Kong	Viet Nam	2008	0
India	Bangladesh	2008	126
India	China	2008	0
India	Hong Kong	2008	0
India	Iran	2008	0
India	Israel	2008	0
India	Japan	2008	0
India	Pakistan	2008	0
India	Saudi Arabia	2008	0
India	South Korea	2008	0
India	United Arab Emirates	2008	0
India	Viet Nam	2008	0
Iran	Bangladesh	2008	0
Iran	China	2008	0
Iran	Hong Kong	2008	0
Iran	India	2008	0
Iran	Israel	2008	0
Iran	Japan	2008	0
Iran	Pakistan	2008	0
Iran	Saudi Arabia	2008	0
Iran	South Korea	2008	0
Iran	United Arab Emirates	2008	0
Iran	Viet Nam	2008	0
Israel	Bangladesh	2008	0
Israel	China	2008	0
Israel	Hong Kong	2008	0
Israel	India	2008	0
Israel	Iran	2008	0
Israel	Japan	2008	0
Israel	Pakistan	2008	0
Israel	Saudi Arabia	2008	0
Israel	South Korea	2008	0
Israel	United Arab Emirates	2008	0
Israel	Viet Nam	2008	0
Japan	Bangladesh	2008	0
Japan	China	2008	0
Japan	Hong Kong	2008	0
Japan	India	2008	0
Japan	Iran	2008	0
Japan	Israel	2008	0
Japan	Pakistan	2008	0
Japan	Saudi Arabia	2008	0
Japan	South Korea	2008	0
Japan	United Arab Emirates	2008	0
Japan	Viet Nam	2008	0
Pakistan	Bangladesh	2008	0
Pakistan	China	2008	0
Pakistan	Hong Kong	2008	0
Pakistan	India	2008	0
Pakistan	Iran	2008	0
Pakistan	Israel	2008	0
Pakistan	Japan	2008	0
Pakistan	Saudi Arabia	2008	0
Pakistan	South Korea	2008	0
Pakistan	United Arab Emirates	2008	0
Pakistan	Viet Nam	2008	0
Saudi Arabia	Bangladesh	2008	0
Saudi Arabia	China	2008	0
Saudi Arabia	Hong Kong	2008	0
Saudi Arabia	India	2008	0
Saudi Arabia	Iran	2008	0
Saudi Arabia	Israel	2008	0
Saudi Arabia	Japan	2008	0
Saudi Arabia	Pakistan	2008	0
Saudi Arabia	South Korea	2008	0
Saudi Arabia	United Arab Emirates	2008	0
Saudi Arabia	Viet Nam	2008	0
South Korea	Bangladesh	2008	0
South Korea	China	2008	0
South Korea	Hong Kong	2008	0
South Korea	India	2008	0
South Korea	Iran	2008	0
South Korea	Israel	2008	0
South Korea	Japan	2008	0
South Korea	Pakistan	2008	0
South Korea	Saudi Arabia	2008	0
South Korea	United Arab Emirates	2008	0
South Korea	Viet Nam	2008	0
United Arab Emirates	Bangladesh	2008	0
United Arab Emirates	China	2008	0
United Arab Emirates	Hong Kong	2008	0
United Arab Emirates	India	2008	0
United Arab Emirates	Iran	2008	0
United Arab Emirates	Israel	2008	0
United Arab Emirates	Japan	2008	0
United Arab Emirates	Pakistan	2008	0
United Arab Emirates	Saudi Arabia	2008	0
United Arab Emirates	South Korea	2008	0
United Arab Emirates	Viet Nam	2008	0
Viet Nam	Bangladesh	2008	0
Viet Nam	China	2008	0
Viet Nam	Hong Kong	2008	0
Viet Nam	India	2008	0
Viet Nam	Iran	2008	0
Viet Nam	Israel	2008	0
Viet Nam	Japan	2008	0
Viet Nam	Pakistan	2008	0
Viet Nam	Saudi Arabia	2008	0
Viet Nam	South Korea	2008	0
Viet Nam	United Arab Emirates	2008	0
Bangladesh	China	2007	0
Bangladesh	Hong Kong	2007	0
Bangladesh	India	2007	0
Bangladesh	Iran	2007	0
Bangladesh	Israel	2007	0
Bangladesh	Japan	2007	0
Bangladesh	Pakistan	2007	0
Bangladesh	Saudi Arabia	2007	0
Bangladesh	South Korea	2007	0
Bangladesh	United Arab Emirates	2007	0
Bangladesh	Viet Nam	2007	0
China	Bangladesh	2007	0
China	Hong Kong	2007	13163
China	India	2007	0
China	Iran	2007	0
China	Israel	2007	0
China	Japan	2007	0
China	Pakistan	2007	0
China	Saudi Arabia	2007	0
China	South Korea	2007	0
China	United Arab Emirates	2007	0
China	Viet Nam	2007	0
Hong Kong	Bangladesh	2007	0
Hong Kong	China	2007	0
Hong Kong	India	2007	0
Hong Kong	Iran	2007	0
Hong Kong	Israel	2007	0
Hong Kong	Japan	2007	0
Hong Kong	Pakistan	2007	0
Hong Kong	Saudi Arabia	2007	0
Hong Kong	South Korea	2007	0
Hong Kong	United Arab Emirates	2007	0
Hong Kong	Viet Nam	2007	0
India	Bangladesh	2007	48
India	China	2007	0
India	Hong Kong	2007	0
India	Iran	2007	0
India	Israel	2007	0
India	Japan	2007	0
India	Pakistan	2007	0
India	Saudi Arabia	2007	0
India	South Korea	2007	0
India	United Arab Emirates	2007	0
India	Viet Nam	2007	0
Iran	Bangladesh	2007	0
Iran	China	2007	0
Iran	Hong Kong	2007	0
Iran	India	2007	0
Iran	Israel	2007	0
Iran	Japan	2007	0
Iran	Pakistan	2007	0
Iran	Saudi Arabia	2007	0
Iran	South Korea	2007	0
Iran	United Arab Emirates	2007	0
